timestamp,power_usage_mW
1733656234509,228344
1733656265837,159068
1733656297079,155697
1733656328372,156647
1733656359589,208671
1733656390863,189497
1733656422177,217307
1733656453399,261092
1733656484681,153586
1733656515977,156805
1733656547295,221193
1733656578686,237717
1733656609918,205065
1733656641150,233413
1733656672375,203782
1733656703665,154843
1733656734942,155929
1733656766125,175241
1733656797396,343489
1733656828602,145884
1733656859856,156656
1733656891018,344345
1733656922153,344460
1733656953495,341545
1733656984646,142136
1733657015888,156392
1733657047041,344536
1733657078235,156874
1733657109536,156521
1733657140851,344329
1733657171986,343796
1733657203118,265330
1733657234343,343834
1733657265497,158522
1733657296663,239130
1733657327784,342439
1733657359011,309726
1733657390211,133595
1733657420231,158162
1733657451572,155379
1733657482828,175127
1733657514138,157723
1733657545419,155419
1733657576830,245363
1733657608051,155422
1733657639428,152463
1733657669474,179353
1733657700809,162741
1733657732056,266088
1733657763369,155401
1733657794665,232673
1733657825985,144434
1733657857383,159427
1733657888747,193769
1733657920040,251866
1733657951202,149212
1733657982443,155334
1733658013750,155510
1733658045094,155590
1733658076480,157813
1733658107804,225837
1733658139143,226854
1733658170417,153523
1733658201702,152260
1733658232975,225862
1733658262990,207744
1733658294221,158382
1733658325449,230238
1733658356603,193129
1733658387802,204705
1733658419079,205005
1733658450471,153363
1733658481842,240601
1733658513191,156222
1733658544521,196913
1733658575725,157546
1733658606903,344300
1733658638070,342566
1733658669244,345681
1733658700370,199903
1733658731570,343090
1733658762741,346267
1733658793994,158133
1733658825115,344409
1733658856351,189126
1733658887561,334702
1733658918709,158952
1733658949885,149733
1733658981146,134026
1733659012266,133877
1733659043540,253940
1733659074658,213921
1733659105859,176881
1733659136757,208728
1733659168074,177288
1733659198083,155833
1733659229364,185924
1733659260755,157415
1733659292019,156483
1733659323344,251424
1733659354537,222402
1733659385786,207648
1733659415821,140158
1733659447221,258765
1733659478442,226938
1733659509774,156707
1733659541069,233274
1733659572328,171468
1733659603566,156774
1733659634867,187703
1733659666181,206914
1733659697471,243823
1733659728718,156605
1733659760003,159277
1733659791313,171957
1733659822771,225491
1733659854037,207204
1733659885273,220632
1733659916540,227597
1733659947831,156195
1733659979039,157000
1733660010254,151287
1733660041653,149898
1733660072922,156176
1733660104196,246528
1733660134328,153296
1733660165606,151036
